experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_acc@1_mean,cumulative_acc@1_std,mal_effective_trust_mean,mal_effective_trust_std,honest_target_effective_trust_mean,honest_target_effective_trust_std,mal_reputation_mean,mal_reputation_std,honest_target_reputation_mean,honest_target_reputation_std
cold_start_sweep,gaming,3,Full TASR,50,0.5,1,1,50,5,0.056,0.08414273587185052,0.216,0.438953300477397,0.9279999999999999,0.08438009243891592,0.996,0.008944271909999166,0.056,0.08414273587185052,0.9279999999999999,0.08438009243891592,0.5696518588419488,0.1202750489768401,0.7103781617385517,0.07229301255233975,1.0,0.0,1.0,0.0
cold_start_sweep,gaming,3,Full TASR,50,0.5,2,51,100,5,0.004,0.00894427190999916,0.18000000000000002,0.05656854249492381,0.972,0.05215361924162119,0.996,0.008944271909999166,0.03,0.04636809247747852,0.95,0.04847679857416328,0.37211091791534395,0.008192374710424789,0.43382120369284544,0.011036691134831753,0.7462063083695041,0.06343518299344957,0.7487186230065969,0.0359465774452359
cold_start_sweep,gaming,3,Full TASR,50,0.5,3,101,150,5,0.0,0.0,0.096,0.021908902300206645,0.94,0.11224972160321824,0.976,0.05366563145999495,0.02,0.030912061651652344,0.9466666666666667,0.056371781750959214,0.29612385013471515,0.015749357942586365,0.3609955189462495,0.013653728215904817,0.6277065097792983,0.060454972812857506,0.7175755145830672,0.039195913219072544
cold_start_sweep,gaming,3,Full TASR,50,0.5,4,151,200,5,0.0,0.0,0.10400000000000001,0.026076809620810597,1.0,0.0,1.0,0.0,0.015,0.02318404623873926,0.96,0.0422788363132194,0.23628978196270364,0.00763029503335644,0.32568914752674555,0.04541712503260893,0.5228520066897917,0.04108632110597341,0.6678233236805412,0.06371899643403534
cold_start_sweep,gaming,3,Full TASR,50,0.5,5,201,250,5,0.0,0.0,0.108,0.017888543819998312,1.0,0.0,1.0,0.0,0.012,0.018547236990991405,0.968,0.03382306905057551,0.1842478987527831,0.004952773399613975,0.2501933006963467,0.014267334325993312,0.4328209717387313,0.03848703292591433,0.592390504129679,0.03288339257089379
cold_start_sweep,gaming,3,Full TASR,50,0.5,6,251,300,5,0.0,0.0,0.084,0.016733200530681513,1.0,0.0,1.0,0.0,0.01,0.015456030825826172,0.9733333333333334,0.028185890875479593,0.15154370445836568,0.007717171992439443,0.20919852021180926,0.019760496372069017,0.3705409216968582,0.03276792410719655,0.5253939905196523,0.019988898824727156
cold_start_sweep,gaming,3,Full TASR,50,0.5,7,301,350,5,0.0,0.0,0.084,0.016733200530681513,1.0,0.0,1.0,0.0,0.008571428571428572,0.013248026422136721,0.9771428571428571,0.02415933503612539,0.12282053609073622,0.004946777297408658,0.17032108423991746,0.014676019337388253,0.31503876568964817,0.02919499833710782,0.45997795082029086,0.026176025762846073
cold_start_sweep,gaming,3,Full TASR,50,0.5,8,351,400,5,0.0,0.0,0.096,0.01673320053068151,1.0,0.0,1.0,0.0,0.0075,0.01159202311936963,0.98,0.02113941815660971,0.10112930001427071,0.006255524203522963,0.14172859127450546,0.020536633287834234,0.2683779550290624,0.023231834816662623,0.38884467730728606,0.023814124537317145
cold_start_sweep,gaming,3,Full TASR,50,0.5,9,401,450,5,0.0,0.0,0.096,0.03577708763999663,1.0,0.0,1.0,0.0,0.006666666666666667,0.010304020550550783,0.9822222222222222,0.018790593916986384,0.08201638343873337,0.0035311700404588517,0.14946292427283656,0.04307415185060982,0.2250675057653548,0.014909971956286188,0.3841106474623877,0.02794811341908872
cold_start_sweep,gaming,3,Full TASR,50,0.5,10,451,500,5,0.0,0.0,0.064,0.016733200530681513,1.0,0.0,1.0,0.0,0.006,0.009273618495495703,0.984,0.016911534525287777,0.07127915148757423,0.004481924062148346,0.1118823078612249,0.026026294771394138,0.1997503808888343,0.01299462551816849,0.2892778123012818,0.03174747069538235
